Treatment,Weight
T1,37.1
T1,34.51
T1,33.99
T1,31.88
T1,22.81
T1,24.34
T1,25.29
T1,18.92
T1,24.21
T1,15.08
T1,15.74
T1,18.27
T1,23.5
T1,17.32
T1,33.8
T1,13.55
T1,46.75
T1,21.74
T1,19.95
T1,23.2
T1,29.81
T1,22.47
T1,15.5
T1,16.4
T1,21.45
T1,15.23
T1,22.33
T1,16.84
T1,13.21
T1,11.38
T1,25.55
T1,21.65
T1,23.11
T1,16.78
T1,24.62
T1,17.4
T1,24.88
T1,29
T1,20.25
T1,25.53
T1,20.05
T1,17.85
T1,12.79
T1,24.8
T1,29.63
T1,11.08
T1,26.75
T1,27.52
T1,19.73
T1,13.91
T1,22.32
T1,16.65
T1,15.35
T1,11.88
T1,21.3
T1,26.63
T1,25.15
T1,21.26
T1,26.3
T1,28.5
T1,18.67
T1,28.65
T1,26.23
T1,22.18
T1,32.7
T1,24.89
T1,31.8
T1,22.66
T1,14.13
T1,23.1
T1,35.31
T1,41.33
T1,17.32
T1,11.55
T1,22.58
T1,31.45
T1,18.69
T1,18.62
T1,11.7
T1,13.88
T1,27.32
T1,20.59
T1,19.25
T1,17.22
T1,17.55
T1,13.89
T1,15.39
T1,16.1
T1,13.71
T1,22.48
T1,18.96
T1,12.37
T1,13.32
T1,12.09
T1,16.28
T1,11.68
T1,12.9
T1,12.73
T1,12.76
T1,11.35
T1,11.38
T1,11.58
T1,13.81
T1,14.06
T1,12.59
T1,11.61
T1,13.24
T1,11.3
T1,11.13
T1,12.63
T1,11.21
T1,11.43
T1,11.14
T1,11.09
T1,12.57
T1,26.85
T1,33.03
T1,30.08
T1,18.29
T1,18.36
T1,28.52
T1,28.65
T1,19.19
T1,19.47
T1,18.8
T1,17.44
T1,21.99
T1,19.12
T1,15.05
T1,23.14
T1,26.52
T1,18.85
T1,24.51
T1,15.36
T1,17.24
T1,20.3
T1,14.34
T1,33.91
T1,15
T1,28.66
T1,44.34
T1,38.15
T1,26.68
T1,16
T1,22.52
T1,24.85
T1,18.64
T1,21.14
T1,32.26
T1,31.36
T1,40.75
T1,28.8
T1,23.77
T1,20.94
T1,31.39
T1,32.16
T1,35.16
T1,29.44
T4,18.1
T4,17.6
T4,15.4
T4,22.9
T4,13.4
T4,21.4
T4,16.8
T4,20.9
T4,22.6
T4,20.7
T4,15.9
T4,17.5
T4,18.1
T4,15.3
T4,26.3
T4,14.3
T4,21
T4,16.1
T4,17.9
T4,14.2
T4,15.4
T4,19.1
T4,13.6
T4,12.9
T4,18.9
T4,20.8
T4,22.8
T4,24.5
T4,18.5
T4,14.9
T4,14.2
T4,19
T4,18.3
T4,13.7
T4,17.6
T4,19.8
T4,17.8
T4,17.3
T4,16.6
T4,15.5
T4,24.2
T4,14.1
T4,20.3
T4,16
T4,12.4
T4,18.7
T4,23.7
T4,15.9
T4,14
T4,18
T4,16.2
T4,18.3
T4,22.4
T4,11.7
T4,13.4
T4,12.6
T4,13.6
T4,14.6
T4,13.5
T4,14
T4,16.8
T4,13.5
T4,13.3
T4,13.4
T4,17.5
T4,15
T4,14.3
T4,17.5
T4,15.4
T4,13.9
T4,14.9
T4,17
T4,12
T4,14.5
T4,12.6
T4,16.7
T4,23.3
T4,27.5
T4,14.6
T4,19.5
T4,15.9
T4,16.7
T4,18.5
T4,18.4
T4,14
T4,19
T4,13
T4,15.4
T4,15.8
T4,15.4
T4,16.7
T4,16.6
T4,16.7
T4,19.3
T4,16.6
T4,18.8
T4,16.7
T4,15.2
T4,11.7
T4,14.9
T4,18
T4,17
T4,13.2
T4,11.5
T4,21.8
T4,17.6
T4,19.8
T4,24.7
T4,14.8
T4,14.9
T4,12.7
T4,12.8
T4,14.9
T4,13.4
T4,12.9
T4,11.5
T4,12.9
T4,20.2
T4,17.8
T4,19.4
T4,14.2
T4,17.1
T4,11.9
T4,16
T4,17.7
T4,16.7
T4,12.4
T4,12.2
T4,19.9
T4,16.8
T4,17.9
T4,12.9
T4,19.8
T4,17.4
T4,14.9
T4,20.9
T4,15.3
T4,15.7
T4,20.5
T4,22.4
T4,22.8
T4,28
T4,12.9
T4,20.2
T4,16.8
T4,18.5
T4,16.4
T4,29
T4,18.8
T4,18.2
T4,20
T4,17.7
T4,17.4
T4,15.8
T4,13.9
T4,14.4
T4,14
T4,13.3
T4,15
