Treatment ,Length,Width 
T2,85,85
T2,114,114
T2,110,110
T2,115,115
T2,115,115
T2,95,95
T2,108,108
T2,90,90
T2,80,80
T2,103,103
T2,109,109
T2,60,60
T2,72,72
T2,80,80
T2,95,95
T2,100,100
T2,80,80
T2,80,80
T2,95,95
T2,105,105
T2,95,95
T2,90,90
T2,120,120
T2,77,77
T2,93,40
T2,82,30
T2,130,43
T2,94,45
T2,50,27
T2,70,25
T2,50,23
T2,85,35
T2,105,44
T2,105,44
T2,68,30
T2,96,40
T2,82,25
T2,70,30
T2,87,28
T2,104,35
T2,95,29
T2,62,35
T2,68,28
T2,85,27
T2,85,33
T2,84,32
T2,68,31
T2,93,38
T2,95,42
T2,84,32
T2,132,45
T2,96,47
T2,52,29
T2,72,27
T2,32,25
T2,87,37
T2,107,46
T2,107,46
T2,70,32
T2,98,42
T2,84,27
T2,72,32
T2,89,29
T2,106,35
T2,97,31
T2,88,37
T2,70,30
T2,87,29
T2,87,34
T2,86,34
T2,70,33
T2,95,40
T2,98,45
T2,87,35
T2,135,48
T2,104,50
T2,55,32
T2,75,30
T2,55,40
T2,90,49
T2,110,49
T2,110,35
T2,73,45
T2,104,30
T2,87,35
T2,75,32
T2,92,40
T2,75,44
T2,92,40
T2,109,33
T2,100,32
T2,72,37
T2,74,37
T2,90,36
T2,90,45
T2,89,43
T2,35,49
T2,34,39
T2,48,52
T2,40,54
T2,45,36
T2,50,44
T2,41,44
T2,52,53
T2,40,53
T2,54,39
T2,53,49
T2,50,39
T2,55,39
T2,42,36
T2,35,44
T2,28,48
T2,40,44
T2,43,37
T2,42,36
T2,35,41
T2,42,41
T2,40,40
T2,45,49
T2,52,47
T2,101,52
T2,90,42
T2,138,55
T2,107,57
T2,58,39
T2,78,37
T2,58,47
T2,93,56
T2,113,56
T2,113,42
T2,76,52
T2,107,37
T2,90,42
T2,78,39
T2,95,47
T2,78,51
T2,95,47
T2,112,40
T2,103,39
T2,75,44
T2,77,44
T2,93,43
T2,93,52
T2,92,50
T2,85,36
T2,60,35
T2,60,44
T2,82,533
T2,87,40
T2,88,45
T2,110,50
T2,11,36
T2,90,30
T2,105,50
T2,10,50
T2,125,30
T2,96,35
T2,68,30
T2,70,45
T2,105,45
T2,105,30
T2,116,30
T2,58,40
T2,100,46
T2,79,40
T2,65,33
T2,77,50
T2,64,39
T2,82,60
T2,85,33
T2,90,44
T2,60,44
T2,98,43
T2,99,45
T2,115,40
T2,95,28
T2,93,44
T2,105,45
T2,85,44
T2,78,38
T2,100,38
T2,115,40
T2,113,48
T2,70,33
T2,72,26
T2,80,42
T2,105,30
T2,80,20
T2,80,30
T2,120,35
T2,120,30
T2,100,40
T2,84,62
T2,87,35
T2,92,46
T2,62,33
T2,100,45
T2,101,47
T2,117,42
T2,97,30
T2,95,46
T2,107,47
T2,87,46
T2,79,40
T2,102,40
T2,117,42
T2,118,50
T2,72,35
T2,74,28
T2,82,44
T2,107,32
T2,82,23
T2,82,32
T2,122,37
T2,122,32
T2,102,42
T2,87,65
T2,90,38
T2,95,49
T2,65,36
T2,103,48
T2,104,50
T2,120,45
T2,100,33
T2,100,49
T2,98,50
T2,110,49
T2,90,38
T2,83,49
T2,105,43
T2,120,43
T2,75,45
T2,82,52
T2,85,38
T2,110,31
T2,85,47
T2,125,35
T2,125,40
T2,105,35
T2,100,45
T2,98,69
T2,87,42
T2,135,53
T2,104,40
T2,55,52
T2,75,54
T2,55,49
T2,90,37
T2,110,53
T2,110,54
T2,73,53
T2,104,42
T2,87,53
T2,75,47
T2,92,47
T2,75,49
T2,92,56
T2,109,42
T2,100,35
T2,72,51
T2,74,39
T2,90,44
T2,90,39
T2,89,49
T2,94,72
T2,97,45
T2,102,56
T2,72,43
T2,110,55
T2,111,57
T2,127,52
T2,107,40
T2,107,56
T2,105,57
T2,117,56
T2,97,45
T2,90,56
T2,112,50
T2,127,50
T2,82,52
T2,89,59
T2,92,45
T2,117,38
T2,92,54
T2,132,42
T2,132,47
T2,112,42
T2,107,52
T2,75,25
T2,80,25
T2,85,30
T2,50,31
T2,90,33
T2,100,45
T2,60,40
T2,80,45
T2,70,40
T2,95,44
T2,60,45
T2,100,53
T2,88,37
T2,70,27
T2,90,27
T2,95,30
T2,96,37
T2,97,48
T2,75,30
T2,50,45
T2,67,33
T2,70,30
T2,90,34
T2,127,46
T2,90,40
T2,90,25
T2,115,45
T2,113,35
T2,96,29
T2,75,27
T2,100,26
T2,80,20
T2,90,30
T2,130,40
T2,130,40
T2,92,30
T2,90,23
T2,100,38
T2,90,29
T2,130,42
T2,120,34
T2,85,35
T2,100,36
T2,135,34
T2,87,30
T2,60,24
T2,140,30
T2,120,40
T2,92,42
T2,92,27
T2,117,45
T2,117,37
T2,89,31
T2,75,29
T2,102,18
T2,82,22
T2,92,32
T2,92,27
T2,132,42
T2,94,32
T2,92,25
T2,102,28
T2,111,80
T2,132,44
T2,122,36
T2,87,37
T2,102,38
T2,135,36
T2,89,32
T2,62,26
T2,140,32
T2,122,40
T2,95,45
T2,95,30
T2,120,50
T2,120,40
T2,106,34
T2,80,32
T2,105,30
T2,85,25
T2,95,35
T2,95,30
T2,95,45
T2,135,35
T2,97,28
T2,95,43
T2,105,52
T2,100,47
T2,135,39
T2,125,40
T2,90,36
T2,105,39
T2,140,30
T2,92,29
T2,65,30
T2,145,40
T2,91,49
T2,94,34
T2,99,54
T2,69,44
T2,107,38
T2,108,36
T2,124,34
T2,104,29
T2,104,39
T2,102,34
T2,114,49
T2,94,39
T2,87,32
T2,109,47
T2,124,56
T2,79,51
T2,86,43
T2,89,44
T2,114,40
T2,89,43
T2,129,34
T2,129,33
T2,109,34
T2,104,49
T2,102,52
T2,102,37
T2,127,57
T2,127,47
T2,113,41
T2,87,39
T2,112,37
T2,92,32
T2,102,42
T2,102,37
T2,102,52
T2,142,42
T2,104,35
T2,102,50
T2,112,59
T2,107,54
T2,142,46
T2,132,47
T2,97,43
T2,112,46
T2,147,37
T2,99,36
T2,72,37
T2,152,52
T2,80,36
T2,90,35
T2,115,45
T2,110,20
T2,110,37
T2,100,44
T2,78,18
T2,110,25
T2,120,27
T2,87,48
T2,105,23
T2,97,30
T2,45,25
T2,80,31
T2,94,35
T2,90,43
T2,90,33
T2,100,42
T2,80,30
T2,70,20
T2,116,26
T2,87,22
T2,142,35
T2,118,50
T2,110,30
T2,128,35
T2,90,45
T2,12,33
T2,110,36
T2,80,27
T2,80,15
T2,113,24
T2,115,30
T2,90,30
T2,90,30
T2,90,30
T2,90,33
T2,75,25
T2,105,32
T2,60,32
T2,120,40
T2,104,24
T2,80,27
T2,100,30
T2,82,33
T2,110,40
T2,87,30
T2,125,35
T2,112,32
T2,127,37
T2,92,47
T2,122,36
T2,112,38
T2,82,29
T2,82,17
T2,115,26
T2,117,32
T2,102,27
T2,92,32
T2,92,32
T2,85,35
T2,77,27
T2,107,37
T2,62,32
T2,122,42
T2,106,46
T2,82,26
T2,102,29
T2,90,32
T2,112,35
T2,70,42
T2,127,52
T2,115,40
T2,130,40
T2,95,50
T2,125,38
T2,115,41
T2,85,32
T2,85,20
