unit,height ,productive,unproductive
1P,102,14,2
1P,102,33,0
1P,111,15,3
1P,106,20,2
1P,99,15,1
1P,108,31,1
2P,102,17,1
2P,105,32,1
2P,110,21,2
2P,105,22,1
2P,90,20,5
2P,111,46,3
3P,101,15,1
3P,102,30,0
3P,108,29,4
3P,105,21,2
3P,99,22,1
3P,100,23,4
4P,101,15,0
4P,103,20,0
4P,106,18,1
4P,101,32,4
4P,100,22,4
4P,103,20,4
5P,100,17,4
5P,101,31,0
5P,104,19,5
5P,103,26,0
5P,99,18,2
5P,105,33,3
6P,101,15,0
6P,102,23,1
6P,112,22,1
6P,108,34,0
6P,90,19,0
6P,107,31,4
7P,99,10,2
7P,102,19,2
7P,110,18,0
7P,103,42,4
7P,90,15,5
7P,108,29,2
8P,100,20,1
8P,103,18,2
8P,110,23,8
8P,102,23,2
8P,101,25,3
8P,105,17,0
9P,100,23,3
9P,103,19,0
9P,101,22,1
9P,103,22,0
9P,98,28,3
9P,111,26,2
10P,101,26,2
10P,102,20,1
10P,115,20,2
10P,102,25,0
10P,100,25,8
10P,111,21,2
