CQ1,CQ2,CQ3,CQ4,CQ5,CQ6,CQ7,CQ8,CQ9,CQ10,CQ11,CQ12,CQ13,CQ14,CQ15,CQ16,CQ17,CQ18,CQ19,CQ20,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,age,sex,status,educ,income,size,affil,tenure,experience
5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,33,1,1,4,1,4,2,1,20
5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,5,5,4,4,5,5,5,5,5,5,3,4,5,5,4,5,5,4,5,5,5,5,63,1,2,6,1,4,2,1,45
4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,4,5,5,4,4,4,5,5,60,1,2,4,1,4,2,1,10
5,4,4,4,5,4,4,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,5,3,5,5,3,4,4,5,5,56,2,2,4,1,4,2,3,25
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,66,1,2,4,1,5,2,3,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,75,2,2,4,1,2,2,1,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,60,2,2,4,1,5,2,2,50
4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,5,3,3,3,4,4,5,3,4,3,3,4,4,4,4,4,4,5,5,5,5,70,2,2,4,1,5,2,2,5
4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,59,1,2,4,1,5,2,2,55
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,4,4,53,2,2,4,1,5,2,2,30
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,4,53,2,2,4,2,4,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,65,2,3,4,1,3,2,2,35
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,62,2,2,4,2,2,2,2,40
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,62,2,2,4,1,3,2,2,31
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,48,2,2,4,1,2,2,2,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,52,2,2,4,1,3,2,2,26
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,57,2,2,4,1,4,2,2,28
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,35,2,2,4,1,3,2,2,17
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,45,2,2,4,1,2,2,2,22
5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,51,2,2,4,1,3,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,31,2,2,4,1,3,2,2,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,54,2,2,4,1,1,2,2,27
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,50,2,2,4,1,2,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,48,2,2,4,1,2,2,2,24
4,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,4,74,1,2,2,1,2,2,2,64
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,70,1,2,4,1,3,2,2,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,63,1,2,4,1,4,2,1,30
5,4,5,5,5,4,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,63,1,2,2,1,3,2,2,40
4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,3,5,5,3,5,5,5,3,40,2,2,4,2,4,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,73,1,2,2,1,3,2,2,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,63,1,2,4,1,3,2,1,30
5,4,5,5,5,4,5,5,5,5,3,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,78,1,3,4,1,4,2,2,40
